Trained Model,Test Dataset,mAP50,mAP50-95,Precision,Recall,FPS,Predictions,Ground Truth,Pole AP50,Pole Precision,Pole Recall,Pole F1,Trunk AP50,Trunk Precision,Trunk Recall,Trunk F1,Vine Row AP50,Vine Row Precision,Vine Row Recall,Vine Row F1
Aug+Mar 6x6 (v20),Test: August Dataset (v6),0.39361022745565083,0.1290009913792308,0.39361022745565083,0.5556272760530371,19.55790273050047,1234,1401,0.5766046859416037,0.5766046859416037,0.6859903381642513,0.6265591673407552,0.3153147620038627,0.3153147620038627,0.36817472698907955,0.3397006926542436,0.2889112344214861,0.2889112344214861,0.6127167630057804,0.3926691647904761
Aug+Mar 6x6 (v20),Test: July Dataset (v14),0.28324348199319577,0.1420995250627131,0.28324348199319577,0.43332431854699854,19.50325883868142,1219,1287,0.6086611453512973,0.6086611453512973,0.6802168021680217,0.6424526677512715,0.08426658726268574,0.08426658726268574,0.176759410801964,0.1141258911011271,0.1568027133656043,0.1568027133656043,0.44299674267100975,0.23162105455026766
Aug+Mar 6x6 (v20),Test: March Dataset (v10),0.24434806893626085,0.06526552462243698,0.24434806893626085,0.39615158146240254,19.414196370830695,1411,2118,0.5235896843903872,0.5235896843903872,0.6695957820738138,0.5876595953587764,0.13161441297836673,0.13161441297836673,0.17258064516129032,0.1493390487225003,0.07784010944002877,0.07784010944002877,0.34627831715210355,0.127107620955834
Aug+Jul Full Res (v21),Test: August Dataset (v6),0.5414755790179416,0.18393375144633417,0.5414755790179416,0.6457617970743236,20.014799195679213,1219,1401,0.6440781875556073,0.6440781875556073,0.7222222222222222,0.6809155242468405,0.41954832710913287,0.41954832710913287,0.48673946957878317,0.450653161051193,0.5608002223890847,0.5608002223890847,0.7283236994219653,0.6336770045090291
Aug+Jul Full Res (v21),Test: July Dataset (v14),0.45241047456678996,0.20313786219427135,0.45241047456678996,0.5671908664509946,20.263378647851717,1067,1287,0.7295158450115744,0.7295158450115744,0.7750677506775068,0.7516022462251613,0.20375184648553532,0.20375184648553532,0.29132569558101473,0.23979333885977633,0.42396373220326,0.42396373220326,0.6351791530944625,0.5085110386932101
Aug+Jul Full Res (v21),Test: March Dataset (v10),0.042873250414326394,0.012929617540095183,0.042873250414326394,0.10826284528258916,20.875419447410824,645,2118,0.06186717739555352,0.06186717739555352,0.17926186291739896,0.09198747242533926,0.030638063806380636,0.030638063806380636,0.03225806451612903,0.031427201173583094,0.03611451004104504,0.03611451004104504,0.11326860841423948,0.0547671027116189
Aug+Jul 2x2 (v22),Test: August Dataset (v6),0.5428640470862359,0.19340194889078957,0.5428640470862359,0.6554886880627832,19.948227576962513,1216,1401,0.6586971550585864,0.6586971550585864,0.748792270531401,0.7008611636597464,0.40698660604911985,0.40698660604911985,0.46333853354134164,0.4333382287601189,0.5629083801510014,0.5629083801510014,0.7543352601156069,0.6447123772433135
Aug+Jul 2x2 (v22),Test: July Dataset (v14),0.4356682170377503,0.202045141143792,0.4356682170377503,0.551183877807598,20.022349231730722,968,1287,0.7580647316457376,0.7580647316457376,0.7940379403794038,0.7756344590333862,0.1739663030845779,0.1739663030845779,0.24713584288052373,0.2041942049337304,0.37497361638293525,0.37497361638293525,0.6123778501628665,0.4651343414148366
Aug+Jul 2x2 (v22),Test: March Dataset (v10),0.027685728296734095,0.007609743791127056,0.027685728296734095,0.0867737749285946,20.719655932417943,693,2118,0.056299429780210554,0.056299429780210554,0.19156414762741653,0.08702329233325878,0.009900990099009901,0.009900990099009901,0.004032258064516129,0.0057306590257879654,0.01685676501098182,0.01685676501098182,0.06472491909385113,0.026747492736674806
Aug+Jul 4x4 (v23),Test: August Dataset (v6),0.3955158708214102,0.12336358999687318,0.3955158708214102,0.4907339266400233,19.957286257635563,914,1401,0.511807105149533,0.511807105149533,0.6038647342995169,0.5540379359514018,0.23249331561550254,0.23249331561550254,0.25273010920436817,0.24218971318874116,0.442247191699195,0.442247191699195,0.615606936416185,0.5147220804547609
