Trained Model,Test Dataset,mAP50,mAP50-95,Precision,Recall,FPS,Predictions,Ground Truth
vineyard_object_detection_paper-54,Test: Dataset (v66),0.0099009900990099,0.005940594059405939,0.0099009900990099,0.00390625,19.3868813945225,17,768
vineyard_object_detection_paper-54,Test: Dataset (v66_aug),0.0049504950495049506,0.0011138613861386138,0.0049504950495049506,0.0013610071452875127,19.345260315958893,23,2939
vineyard_object_detection_paper-54,Test: Dataset (v67),0.4220564485027725,0.17463401227479608,0.4220564485027725,0.48104265402843605,18.902786449147648,306,422
vineyard_object_detection_paper-54,Test: Dataset (v67_aug),0.32576644210081707,0.0970739079747499,0.32576644210081707,0.39147909967845657,20.839620829862593,772,1244
vineyard_object_detection_paper-54,Test: Dataset (v68),0.2779795570584922,0.12343214097422421,0.2779795570584922,0.3090909090909091,32.30771289775964,181,440
vineyard_object_detection_paper-54,Test: Dataset (v68_aug),0.2315686008419362,0.0883749648648936,0.2315686008419362,0.2669039145907473,33.67789253464035,551,1405
vineyard_object_detection_paper-54,Test: Dataset (v69),0.2411802311805852,0.10129286512720445,0.2411802311805852,0.27606177606177607,51.61685374737346,193,518
vineyard_object_detection_paper-54,Test: Dataset (v69_aug),0.1960036282442373,0.07239347057699032,0.1960036282442373,0.22475189725627553,53.39222689226679,554,1713
vineyard_object_detection_paper-56,Test: Dataset (v58),0.3378194295568229,0.14449360396642424,0.3378194295568229,0.39622641509433965,7.363882132470301,193,318
vineyard_object_detection_paper-56,Test: Dataset (v58_aug),0.34420115324359873,0.14285049447378348,0.34420115324359873,0.37142857142857144,7.242190041972745,468,980
vineyard_object_detection_paper-56,Test: Dataset (v59),0.0,0.0,0.0,0.0,8.896455565352058,0,597
vineyard_object_detection_paper-56,Test: Dataset (v59_aug),0.0066006600660066,0.0034653465346534654,0.0066006600660066,0.0011173184357541898,9.029557027236804,3,1790
vineyard_object_detection_paper-56,Test: Dataset (v60),0.0,0.0,0.0,0.0,6.902485405828716,0,405
vineyard_object_detection_paper-56,Test: Dataset (v60_aug),0.0,0.0,0.0,0.0,8.105841309927204,0,1203
vineyard_object_detection_paper-56,Test: Dataset (v61),0.2542502762972976,0.10310392079341871,0.2542502762972976,0.2887537993920973,26.79359919429023,138,329
vineyard_object_detection_paper-56,Test: Dataset (v61_aug),0.2541823519087987,0.10379918554013175,0.2541823519087987,0.2894248608534323,26.205771270435346,399,1078
vineyard_object_detection_paper-56,Test: Dataset (v62),0.476669473368584,0.2279624644010688,0.476669473368584,0.5406824146981627,18.39645085188935,286,381
vineyard_object_detection_paper-56,Test: Dataset (v62_aug),0.32109382241660284,0.13867894979360681,0.32109382241660284,0.3839223839223839,18.278201310027583,806,1443
vineyard_object_detection_paper-56,Test: Dataset (v63),0.4438334168197216,0.2104713164662792,0.4438334168197216,0.5079006772009029,38.61977536199906,304,443
vineyard_object_detection_paper-56,Test: Dataset (v63_aug),0.2505804875426103,0.10134094009653241,0.2505804875426103,0.29924242424242425,38.48975228929161,809,1848
vineyard_object_detection_paper-56,Test: Dataset (v64),0.5494406725040152,0.26033526832279014,0.5494406725040152,0.5697674418604651,21.620652184215345,385,602
vineyard_object_detection_paper-56,Test: Dataset (v64_aug),0.48860533983166743,0.21098863970621395,0.48860533983166743,0.518244315177155,21.71083280302118,1101,1891
vineyard_object_detection_paper-56,Test: Dataset (v65),0.5943406210134097,0.2820325039198721,0.5943406210134097,0.6119402985074627,45.89246099540242,473,670
vineyard_object_detection_paper-56,Test: Dataset (v65_aug),0.44666526033660203,0.18817674373725896,0.44666526033660203,0.4750219106047327,45.9640024411326,1260,2282
vineyard_object_detection_paper-56,Test: Dataset (v66),0.3176505775469372,0.11239397269109808,0.3176505775469372,0.3684895833333333,19.302508456305514,392,768
vineyard_object_detection_paper-56,Test: Dataset (v66_aug),0.22242157334332624,0.08967118410737629,0.22242157334332624,0.23001020755358967,19.323651095323456,853,2939
vineyard_object_detection_paper-56,Test: Dataset (v67),0.0478976469075479,0.02270183453551016,0.0478976469075479,0.04739336492890995,19.16453000386324,22,422
vineyard_object_detection_paper-56,Test: Dataset (v67_aug),0.038312526904864405,0.017330242341004286,0.038312526904864405,0.03536977491961415,21.07839272069209,46,1244
vineyard_object_detection_paper-56,Test: Dataset (v68),0.4009948291764323,0.18240273212598296,0.4009948291764323,0.41818181818181815,32.2307742650465,207,440
vineyard_object_detection_paper-56,Test: Dataset (v68_aug),0.2871239421605551,0.11629771241904491,0.2871239421605551,0.3081850533807829,33.70141924218393,504,1405
vineyard_object_detection_paper-56,Test: Dataset (v69),0.2575362755894878,0.1215147350318994,0.2575362755894878,0.2625482625482625,52.11065120547476,157,518
vineyard_object_detection_paper-56,Test: Dataset (v69_aug),0.19843243489717224,0.08151794012260151,0.19843243489717224,0.2031523642732049,53.25274696388635,393,1713
vineyard_object_detection_paper-57,Test: Dataset (v58),0.34641608263212637,0.1535996158346486,0.34641608263212637,0.4056603773584906,7.084447009990441,184,318
