Trained Model,Backbone,Train Dataset ID,Train Season,Train Variant,Test Dataset ID,Test Dataset Folder,Test Season,Image Size,Eval Mode,Eval Grid,mIoU,Pixel Accuracy,FPS,Pole IoU,Trunk IoU,Vine Row IoU,Pole Precision,Trunk Precision,Vine Row Precision,Pole Recall,Trunk Recall,Vine Row Recall,Pole F1,Trunk F1,Vine Row F1,Best Val Loss,Checkpoint
resnet50 | 23 | resnet50_img640x480_20260210_080803,resnet50,23,Aug+Jul,4x4,14,vineyard_segmentation_paper-14,July,640x480,tiled_reconstruct,4x4,0.4983828078670383,0.9371119244624494,4.230196019216108,0.15936949604175515,0.06406396927905324,0.30294268454080703,0.4566005873263157,0.26670937402029427,0.6051213962821302,0.18773021892369882,0.08800032064106397,0.3474285328820694,0.2442675229038057,0.10889153063015901,0.42701861615049674,0.11648084526344882,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-23/resnet50_img640x480_20260210_080803/resnet50_vineyard_segmentation_paper-23_unet_image_size_640x480_batch_size_8.pth
resnet50 | 23 | resnet50_img640x480_20260210_080803,resnet50,23,Aug+Jul,4x4,10,vineyard_segmentation_paper-10,March,640x480,tiled_reconstruct,4x4,0.3139890923884991,0.9382448412543933,4.152439365841051,0.12483051946921771,0.0012257015161149486,0.0625340298718501,0.1666902762420419,0.08144348102603863,0.47362869151264114,0.43467556913817706,0.0012278794342711775,0.0754895221742137,0.19814601928563627,0.002380500005906248,0.10695595878353184,0.11648084526344882,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-23/resnet50_img640x480_20260210_080803/resnet50_vineyard_segmentation_paper-23_unet_image_size_640x480_batch_size_8.pth
resnet101 | 24 | resnet101_img1014x760_20260213_031352,resnet101,24,Aug+Jul,6x6,6,vineyard_segmentation_paper-6,August,1014x760,tiled_reconstruct,6x6,0.4389526519038253,0.9177858460175957,0.8799584946727153,0.19684484666078325,0.03592250278449265,0.23836855456314182,0.46453447550951854,0.3145330124813201,0.6946376993031022,0.2356918771402246,0.03915201903047606,0.2615807112214729,0.2833556561003684,0.06345333139787569,0.3652754128955976,0.12017745067577948,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-24/resnet101_img1014x760_20260213_031352/resnet101_vineyard_segmentation_paper-24_unet_image_size_1014x760_batch_size_8.pth
resnet101 | 24 | resnet101_img1014x760_20260213_031352,resnet101,24,Aug+Jul,6x6,14,vineyard_segmentation_paper-14,July,1014x760,tiled_reconstruct,6x6,0.42873349983936915,0.9291925929600198,0.8774913770664399,0.11699706956993972,0.027062022381469916,0.22010269055071602,0.4767191130332994,0.2291530934194957,0.6075704175109914,0.12848171359464694,0.03124861630431298,0.24202337892139272,0.18113378247534173,0.04892321882092262,0.3296432967043818,0.12017745067577948,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-24/resnet101_img1014x760_20260213_031352/resnet101_vineyard_segmentation_paper-24_unet_image_size_1014x760_batch_size_8.pth
resnet101 | 24 | resnet101_img1014x760_20260213_031352,resnet101,24,Aug+Jul,6x6,10,vineyard_segmentation_paper-10,March,1014x760,tiled_reconstruct,6x6,0.28755758013946403,0.9403893685072517,0.8786040592482688,0.11032029279401598,0.002089864021930004,0.007279888751901492,0.17795175604128446,0.08983529077058552,0.28121792888785674,0.2928247660992542,0.002096757579048886,0.007479388438067199,0.17829319020735254,0.003973855602339358,0.014268062294277796,0.12017745067577948,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-24/resnet101_img1014x760_20260213_031352/resnet101_vineyard_segmentation_paper-24_unet_image_size_1014x760_batch_size_8.pth
resnet18 | 24 | resnet18_img640x480_20260210_015634,resnet18,24,Aug+Jul,6x6,6,vineyard_segmentation_paper-6,August,640x480,tiled_reconstruct,6x6,0.3942180727327412,0.9146448487620681,4.920419279148521,0.09835140487138802,0.011611553688279572,0.21067273947374598,0.4134990458347611,0.18484221371094875,0.6855471760932496,0.10860122574246654,0.012859791271649908,0.22925440959162402,0.15423803166441494,0.021886357439467496,0.3282035001248954,0.12188214165048282,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-24/resnet18_img640x480_20260210_015634/resnet18_vineyard_segmentation_paper-24_unet_image_size_640x480_batch_size_8.pth
resnet18 | 24 | resnet18_img640x480_20260210_015634,resnet18,24,Aug+Jul,6x6,14,vineyard_segmentation_paper-14,July,640x480,tiled_reconstruct,6x6,0.41699998628622786,0.9237973234647033,4.977569570799962,0.06482098580515692,0.03249874027295194,0.17009845813836993,0.4041124524416143,0.2584533590669366,0.6317372596948393,0.06867178461566918,0.040334579200859304,0.18371615907246408,0.10617601099802192,0.05896536073347628,0.2651327793454402,0.12188214165048282,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-24/resnet18_img640x480_20260210_015634/resnet18_vineyard_segmentation_paper-24_unet_image_size_640x480_batch_size_8.pth
resnet18 | 24 | resnet18_img640x480_20260210_015634,resnet18,24,Aug+Jul,6x6,10,vineyard_segmentation_paper-10,March,640x480,tiled_reconstruct,6x6,0.3073668726107645,0.9429005118426614,4.842747900659484,0.06758421467937652,0.0008886127349825289,0.0034338320468774992,0.19682045874119855,0.054222039919028804,0.1826150740329737,0.13257607875789404,0.0008942690483990703,0.0035127182870312965,0.11604588824338304,0.0017288218688332716,0.0067105739962616895,0.12188214165048282,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-24/resnet18_img640x480_20260210_015634/resnet18_vineyard_segmentation_paper-24_unet_image_size_640x480_batch_size_8.pth
resnet50 | 24 | resnet50_img640x480_20260211_004346,resnet50,24,Aug+Jul,6x6,6,vineyard_segmentation_paper-6,August,640x480,tiled_reconstruct,6x6,0.40614931010067573,0.9143338132220346,2.3281363657904173,0.08151645375770643,0.017532512277121326,0.20000086847321782,0.44138429324136047,0.24940530330381597,0.7328830462841641,0.08896072878985627,0.018047830346477993,0.20876039186588696,0.1341964927259533,0.03199624382560736,0.3140237178255854,0.12364437350525374,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-24/resnet50_img640x480_20260211_004346/resnet50_vineyard_segmentation_paper-24_unet_image_size_640x480_batch_size_8.pth
resnet50 | 24 | resnet50_img640x480_20260211_004346,resnet50,24,Aug+Jul,6x6,14,vineyard_segmentation_paper-14,July,640x480,tiled_reconstruct,6x6,0.45147364844286925,0.9264600846008176,2.3112196114209262,0.04070505503892135,0.015919989953498498,0.191738989062562,0.403432847893625,0.24902718575348462,0.658444406207917,0.0419925057699232,0.01692925045872917,0.20659690585515517,0.07078316056960368,0.029441714911643952,0.29039743438692456,0.12364437350525374,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-24/resnet50_img640x480_20260211_004346/resnet50_vineyard_segmentation_paper-24_unet_image_size_640x480_batch_size_8.pth
resnet50 | 24 | resnet50_img640x480_20260211_004346,resnet50,24,Aug+Jul,6x6,10,vineyard_segmentation_paper-10,March,640x480,tiled_reconstruct,6x6,0.33158726889124185,0.9441510175679578,2.2885533734567307,0.07239544771461913,0.0005853872033429405,0.0024956836322326463,0.25074401197293106,0.03770760387600168,0.2720829382945426,0.12578748086741223,0.0005892231797211909,0.0025173395924557944,0.12386593823220325,0.0011394075531923574,0.004841956298901978,0.12364437350525374,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-24/resnet50_img640x480_20260211_004346/resnet50_vineyard_segmentation_paper-24_unet_image_size_640x480_batch_size_8.pth
resnet101 | 25 | resnet101_img2028x1520_20260213_023133,resnet101,25,Mar+Jul,Full Res,6,vineyard_segmentation_paper-6,August,2028x1520,direct,none,0.3068115035436233,0.9064853621201673,5.819297671213345,0.1770135678274404,0.01270922588082199,0.1319907330593581,0.6586361175789237,0.395416287062771,0.8575711639572854,0.19982792163403612,0.013536582920632503,0.13639316405208318,0.2937044230708286,0.024459986774462643,0.22636664140366516,0.11644707713276148,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-25/resnet101_img2028x1520_20260213_023133/resnet101_vineyard_segmentation_paper-25_unet_image_size_2028x1520_batch_size_8.pth
resnet101 | 25 | resnet101_img2028x1520_20260213_023133,resnet101,25,Mar+Jul,Full Res,14,vineyard_segmentation_paper-14,July,2028x1520,direct,none,0.36394501859720807,0.9303727994142856,5.884079668666524,0.13828354779104485,0.10898844352210309,0.2791822619952712,0.8018718320059242,0.5946983430561179,0.8620106046657678,0.14571645281766393,0.12742359910397338,0.29800236218993775,0.23741494319188533,0.19346831694551384,0.4298235503344019,0.11644707713276148,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-25/resnet101_img2028x1520_20260213_023133/resnet101_vineyard_segmentation_paper-25_unet_image_size_2028x1520_batch_size_8.pth
resnet101 | 25 | resnet101_img2028x1520_20260213_023133,resnet101,25,Mar+Jul,Full Res,10,vineyard_segmentation_paper-10,March,2028x1520,direct,none,0.30522807753629877,0.9491167968228634,5.7785744932944425,0.0941523572357408,0.019286078553639563,0.1582352901536579,0.5391661175463205,0.47042176573888556,0.6870192870186969,0.10434156903759513,0.019871606726315594,0.1737548018866224,0.16904783690570566,0.03753508339395687,0.2690604930650466,0.11644707713276148,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-25/resnet101_img2028x1520_20260213_023133/resnet101_vineyard_segmentation_paper-25_unet_image_size_2028x1520_batch_size_8.pth
resnet18 | 25 | resnet18_img640x480_20260210_045525,resnet18,25,Mar+Jul,Full Res,6,vineyard_segmentation_paper-6,August,640x480,direct,none,0.28683245834495413,0.9108851841517857,33.82703927709996,0.00020894617203638053,0.0,0.23790415164207454,0.14285714285714285,0.0,0.7825471603063762,0.00020894617203638053,0.0,0.2676276851817841,0.0004172304061582358,0.0,0.36869505537594055,0.1378316767513752,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-25/resnet18_img640x480_20260210_045525/resnet18_vineyard_segmentation_paper-25_unet_image_size_640x480_batch_size_8.pth
resnet18 | 25 | resnet18_img640x480_20260210_045525,resnet18,25,Mar+Jul,Full Res,14,vineyard_segmentation_paper-14,July,640x480,direct,none,0.32723941902323367,0.9342362721761068,34.46957017827101,0.002675168305681819,0.000411906406320066,0.37302827735675503,0.5576196329841644,0.01255328304401494,0.8172913770235313,0.0026836967315775023,0.00043543750247673264,0.42258651984401197,0.0052849895801010075,0.0008224195111456666,0.5308636521353012,0.1378316767513752,/home/users/jcox/resnets/paper_datasets_results/without_augmentations/vineyard_segmentation_paper-25/resnet18_img640x480_20260210_045525/resnet18_vineyard_segmentation_paper-25_unet_image_size_640x480_batch_size_8.pth
